"","L2/3","Oligo_1","AST-PP","OPC_1","L4_1","IN-VIP","L4_2","IN-PV","Neu-NRGN-II","Oligo_2","Microglia","IN-SST","L5/6-CC","IN-SV2C","L5/6_1","Endothelial","L5/6_2","OPC_2"
"AC011287.1",1.29665869377743,-0.509311366164197,-0.491885363209665,-0.44769896765371,-0.0172811529329597,-0.470614858007682,0.414025618517189,-0.463263383039159,-0.394615813835067,-0.510716713795976,-0.465374198672522,-0.464085267996106,0.754619352554688,-0.448881287058577,0.579751633370241,-0.443994874849523,-0.427226228662579,-0.358539214729011
"CBLN2",1.37539819939974,-0.477353510081512,-0.472784090587548,-0.452067902437146,-0.171319960949294,-0.360052284488995,-0.266425347948355,-0.448020765864385,-0.186451202073662,-0.462342530714233,-0.456442810093634,-0.256117251034402,0.989272827508675,-0.464951155347709,0.145591618576649,-0.438996611133238,-0.455944048110911,-0.46305788791476
"HS6ST3",1.2357646454356,-0.794666655450069,-0.759999969754109,0.525071095729784,-0.209100478593509,0.366921075351859,-0.119446302500075,0.486242702920973,-0.309750168370097,-0.778640119659036,-0.754460765413739,-0.511478322666567,0.54427146281553,-0.497791378519209,-0.276804213234421,-0.700098182392323,0.8799845155481,0.111215166569851
"IQCJ-SCHIP1",1.10967606935319,-0.522716555885198,-0.778397534460602,-0.743000238167521,1.03563895341575,-0.419351991608157,0.865097294217766,0.029950376390298,-0.753430149036471,-0.176763582429982,-0.815667704458557,-0.184061778525539,0.667480880988643,-0.528859372826822,-0.189982944701157,-0.724073879274342,-0.288822957590936,-0.75027289982953
"LINC02306",1.15153886070494,-0.355205955355229,-0.346439225750628,-0.343243750237256,0.366536485882605,-0.337467917460448,-0.307262158942081,-0.339883625558878,-0.317793510795551,-0.346091062198459,-0.308820245556454,-0.3409499938739,0.0818536531348158,-0.343914094746844,-0.320427131965622,-0.329705643199749,-0.338564895317252,-0.304319726705793
"TAFA1",1.14822187970023,-0.651027226383431,-0.177026983462723,0.145361376652147,0.0170335246000254,-0.418972517584454,0.953465953249516,-0.592537204528638,-0.42160208574465,-0.636577554024557,-0.576287819310207,-0.623837828014224,0.418211835476762,-0.6163891206366,-0.345873746069224,-0.560824524120677,-0.534556093574096,-0.112641466582451
"CUX2",1.29907490533183,-0.435533482254675,-0.428428515963596,-0.345145548021546,-0.140910941116349,-0.40583548842508,-0.358240533225329,0.341117158404866,-0.258181439731849,-0.429955947654209,-0.41742853844506,0.161046395235151,-0.389690592307476,-0.365657481065816,-0.394929551667669,-0.377904587523934,-0.388625182312053,-0.373151651176968
"KCNIP4",1.09426261703566,-0.929859936859575,-0.951922481707128,0.625762379939168,0.985097858236142,0.0458607153474779,0.95123873233658,-0.485025846930134,-0.7155571346671,-0.970331435073399,-0.894475589289594,-0.313007655307339,1.06330899710191,-0.0895497279681147,0.438422739659194,-0.808810363508248,-0.860404969416746,0.446629751493837
"AC034268.2",1.02889051437037,-0.413252413183871,-0.401503402715056,-0.395234716539163,0.385407148603726,-0.364676544859107,-0.0995571600473361,-0.373535908170194,-0.350801045471478,-0.404329758633337,-0.388582483980988,-0.367933014648681,1.00520645571662,-0.375101585052677,0.235895285999934,-0.368242864108403,-0.265323471926981,-0.383192101600799
"LINC01378",1.15290135644978,-0.40786754038823,-0.405201553698105,-0.405503568092464,-0.0800417780074188,-0.343462069893018,0.628650645441435,-0.367616859088292,-0.322060226734698,-0.406547961364689,-0.394980531115048,-0.381895046578535,-0.0781679510435034,-0.38926658226727,0.0778458780724951,-0.375305570059918,-0.39209266095953,-0.342758813813464
"AC013287.1",1.24569170639502,-0.444704333387672,-0.481692838076894,-0.34627177032155,0.066172522714382,-0.451958756155858,0.591072961111575,-0.405834856116855,-0.441551007124666,-0.432904893766762,-0.48483696817302,-0.435922291071277,-0.157098949662146,-0.473148531629688,-0.0304626505909122,-0.442677417544984,1.52758062784855,-0.448761704673852
"DGKB",1.20631735693818,-0.752082340104641,-0.595797819881104,-0.234959770923819,-0.399893822567057,0.316965226797008,0.43106993925897,-0.212466928770361,-0.436928903350647,-0.751953765941914,-0.721197292969136,-0.32107288813192,0.67166781874653,0.820188702058719,0.414301489492555,-0.199543901313733,0.298361847325621,-0.345375330226102
"LRRTM4",0.995046976164751,-0.951356400776985,-0.660514635547408,0.870349627095458,0.372287210068695,0.0499086468850911,0.569242326346717,0.634700957575315,-0.824446551387866,-0.980436629791638,-1.00961128947629,-0.00216765536647235,0.414517290140637,-0.549914897754192,0.821517641200965,-0.928088107528945,-1.0035976939912,0.689355653397663
"AJ009632.2",1.00710950778702,-0.323416861862278,-0.321993825720065,-0.312360214869943,-0.162852470768291,-0.308894241480096,0.250833220247993,-0.291929301304834,-0.170389237082408,-0.316375303096626,-0.254281816225484,-0.305444620330768,-0.0229365530045574,-0.300786850744083,-0.178852562328822,-0.277975690146063,-0.301585670389563,-0.202371470542657
"CDH18",1.10471108990948,-0.75181886846642,-0.738727825926991,-0.341347107053437,0.657452998390805,-0.0687681007314486,0.25743360589586,0.315262257557026,-0.539717212253541,-0.746432913769445,-0.721025462826976,-0.0302323778308919,0.380419701641603,-0.214137686964378,1.00212558505599,-0.672957845513692,1.2521223591545,-0.378317458951479
"LINC02263",0.994340608694994,-0.362802265233628,-0.361687317563532,-0.359031651253846,-0.109866537895716,-0.352134809035536,0.83925229914836,-0.354840692092572,-0.28405021488261,-0.359045718461897,-0.349528553191415,-0.358935647524176,-0.289335076145291,-0.35405716052069,0.29046729050746,-0.347281267565168,-0.351740749019534,-0.378031268112467
"AL117329.1",1.01047635384388,-0.496832270271589,-0.490504212094436,-0.486694879696707,0.828682594973642,-0.469676630856863,0.540565171121428,-0.461395177292242,-0.426520346796353,-0.475045906345493,-0.473552712804947,-0.475072197623272,0.972877606532056,-0.469657771688404,0.201096774517322,-0.463464573642759,-0.338688767831157,-0.426326684453371
"LINC02055",0.94340077576795,-0.337223979829254,-0.327256894438384,-0.285143619819381,0.154512076435712,-0.209364720880933,0.219808259047894,-0.300055188970338,-0.236070362738007,-0.342604280819396,-0.31419818687374,-0.293175857393026,-0.156888630481617,-0.312245211914451,-0.0990991670215774,-0.277981730369442,-0.254631184049634,-0.321845569226126
"LINGO2",1.01288204074537,-0.733445924435498,-0.726806672203544,-0.716817278670489,0.908641754416594,0.718292032742939,0.454409463077414,-0.552894091821073,-0.612274232421037,-0.728357073861689,-0.702374067764557,-0.182748168539907,0.467886726945476,0.855364093248072,0.62973031280986,-0.636260969080189,1.10688846355118,-0.654330467213787
"LDB2",1.08352610166509,-0.727292878073853,-0.722015918409745,-0.513006968114295,0.972464058766476,-0.484627419583907,0.803504896799072,-0.0695328016001782,-0.23708695758237,-0.703044859690218,-0.715169395616061,-0.700376406626678,0.845960021697229,-0.337664018429268,0.766566161251832,-0.225406706794387,1.07576611863553,-0.545693443237995
"R3HDM1",1.00601377199467,-0.650146918055237,-0.609808085868993,-0.413534963875769,0.706233589026593,-0.260816065706786,0.73966201706648,-0.0101203467663983,-0.618388425441584,-0.523192082429056,-0.590030889513592,-0.295647761602298,0.653846641107718,-0.144153664442812,0.434916183862319,-0.596786301486244,-0.123275414872176,-0.510207706554036
"AL157944.1",1.10596629319974,-0.375814344194209,-0.377115853742067,-0.37571678555103,0.00780757899649804,-0.316173037484323,0.0996584626439515,-0.33966138454853,-0.310440919451772,-0.370399680819107,-0.366564722583994,-0.349980917462072,0.346670113515083,-0.363151364091667,0.151226082469334,-0.355192327119884,-0.352484587673357,-0.322532159311207
"DLGAP2",1.01587744772835,-0.828059195912876,-0.761253611280701,-0.794386639543001,0.82094289093101,-0.129270383151594,0.652019259524605,0.7732972671969,-0.549549948027743,-0.81079274436199,-0.778232307821241,0.220249108169156,0.853713784431127,-0.239534961311367,0.840290783100927,-0.692672544800067,0.672304166488056,-0.740378395098152
"AC107223.1",0.949732264072492,-0.496609586610819,-0.454183411831429,-0.107489664515369,0.485233210747557,-0.0498951048961864,-0.0322393294876291,-0.228731653805462,-0.486817609066173,-0.454436243664872,-0.544932246814309,-0.369405943083728,0.192730309164021,0.322296948114383,0.473981014947333,-0.511161355421173,-0.272000348345308,-0.145744383255244
"LINC01250",1.03813342840643,-0.515099651033841,-0.487282077361616,-0.483165844655423,0.343794657916163,-0.270802227616219,0.340175751268574,-0.127159843395529,-0.454742030467858,-0.505671294244767,-0.497073254938058,-0.179201675477869,0.710352192594088,-0.257188949638927,0.365287993668487,-0.47844809346243,-0.114030210913878,-0.407655602183624
"EPHA6",0.877320440894107,-0.643706431531466,-0.0458677912075225,-0.548291613357993,-0.491238422970187,0.331566389201778,0.133052101371898,1.16478638415395,-0.517006671879062,-0.643529419970103,-0.603689175384512,0.624365787267868,-0.590060498272437,0.353661315282312,-0.353498530842635,-0.586391352378666,-0.603810130098765,-0.52521052663436
"LINC02822",0.909768386163891,-0.340158172214799,-0.321923653560797,-0.321500756508559,-0.0644135913527005,-0.138213600465543,-0.0252235655536718,-0.323341252904274,-0.195632589442446,-0.348976275204163,-0.325299737404525,-0.335823546677758,0.364423642662032,-0.316759903840405,0.0986905065166283,-0.290026263750871,1.42648403247963,-0.286170793273008
"GRIA4",0.947670924738853,-0.524011728090088,-0.746609588068,0.131228644008502,-0.216920881323258,-0.049414618993845,-0.0205028899806024,0.923847640258388,-0.455572796112073,-0.464383341829984,-0.814942277526178,-0.465245101511255,0.251509927417606,1.26092001894714,-0.357467142424706,-0.739672173834224,0.798925499535644,-0.291150964904872
"RGS6",1.05242198762304,-0.658237081542998,-0.500822913817206,-0.643664804521035,0.0898858456649184,0.437107830965443,0.84041338877168,-0.513911502502859,-0.514108913337618,-0.648530875033947,-0.627983811071631,0.395202721225778,0.655887845496621,-0.44706999002597,0.04257344402862,-0.15668651067783,0.0127065242120778,-0.62053566620949
"MLIP",0.976724808814613,-0.501557871905612,-0.498458757862194,-0.488235131531791,0.926394237379891,-0.450604306762345,0.405559259653217,-0.480571850918303,-0.412778591487925,-0.490727841545023,-0.484390837739122,-0.481775195650827,0.765872108799402,-0.481162922648134,0.871142715404608,-0.426601993085645,0.188318538418953,-0.440562539691024
"STXBP5L",1.0300260430877,-0.9260149898664,-0.881309495786058,-0.204552024311589,0.677619845463664,0.0700637935857348,0.909871598071745,0.19222900107159,-0.526134025752668,-0.908217445774539,-0.897037287215772,0.138916678462127,0.853307079623471,0.135625336923719,0.945417747155563,-0.822354793155321,0.366256946167245,-0.437553221317277
"AC008574.1",1.13909318292223,-0.306249096055918,-0.303154377541788,-0.304387752325514,-0.025198265237991,-0.234961600477106,-0.274668930953104,-0.294089021788904,-0.274726906010957,-0.307931256155653,-0.297996934239669,-0.297251624148301,-0.212990119362479,-0.289842714736457,-0.270630426153397,-0.287904029164191,-0.144786207745507,-0.272079482249247
"MEG3",0.906305566843479,-1.03624750038383,-1.02470383770162,0.0482224392328355,0.514320020460344,0.714151287320059,0.692671114225188,0.727127095671917,-0.831642526701484,-1.12549256373333,-1.00699512216715,0.442544160167496,0.904369978113042,0.518033868112773,0.928095071890262,-0.868157085041883,1.00160429444433,-0.121285420195051
